name,translation
common_voice_as_20870771.mp3,"He will go to Tezpur on the ship, but the ship is yet to arrive. "
common_voice_as_20870772.mp3,"Hearing the lawyer's question, the farmer replied"
common_voice_as_20870773.mp3,And forgot to disappear from before him. 
common_voice_as_20870774.mp3,Kanai knelt down before the king and said. 
common_voice_as_20870775.mp3,"Along with the bike showroom, there is a drugstore called ""Medicine"".  "
common_voice_as_20878095.mp3,"Not getting a ticket, full housefull. "
common_voice_as_20878096.mp3,"On hearing about the fish, the other fish were ready to go with the goat. "
common_voice_as_20878097.mp3,Right now Let me bring you sausage and good cakes. 
common_voice_as_20878098.mp3,"On the other hand, the British success in the Deccan freed Bombay from the onslaught of all kinds of indigenous powers."
common_voice_as_20878099.mp3,I don't know my brothers though I know Mondal.
common_voice_as_20878105.mp3,"Meanwhile, Devyani loved her father Shukracharya and pranay candidate Kacha equally."
common_voice_as_20878106.mp3,"Being nearby, he had the opportunity to explore these things."
common_voice_as_20878107.mp3,Also to save Koch is his impending death. 
common_voice_as_20878108.mp3,"As per the rules, the work started, the daughter was brought in, the consent was given as per the rules. "
common_voice_as_20878109.mp3,"In that long journey, she did not feel any fear or doubt. "
common_voice_as_21275737.mp3,The thief fell on the tiger's back and fell to the ground unable to stop.
common_voice_as_21275738.mp3,Rashmi Pasalkar models the betupat.
common_voice_as_21275739.mp3,"During this time, the people in the office mostly go to Ghosh Diaries."
common_voice_as_21275740.mp3,Udalguri is a town in the Bodoland Territorial Council of Assam.
common_voice_as_21275741.mp3,"Earlier, one had remembered that one was ahead."
common_voice_as_21275747.mp3,Pitambar fainted twice more that day.
common_voice_as_21275748.mp3,It is because of God's work that we do such things.
common_voice_as_21275749.mp3,"Again, the young men and women began to dance. "
common_voice_as_21275750.mp3,That's why I'll go home with an advice from you.
common_voice_as_21275751.mp3,"Junkie is so bad in my mind, when did you come to hurt me?"
common_voice_as_21275752.mp3,And immediately all his prefixes and suffixes go away.
common_voice_as_21275753.mp3,The police are yet to ascertain that he was killed.
common_voice_as_21275754.mp3,There are two wooden sticks on the wall.
common_voice_as_21275755.mp3,But their love interests are zero.
common_voice_as_21275756.mp3,"On the day of his lips, he got up early and completed his rituals."
common_voice_as_21650228.mp3,How can it be taken away from the hands of the police?
common_voice_as_21650231.mp3,"Seeing the kanda, she got up in her mother's lap."
common_voice_as_21808341.mp3,Although the history of this industry is old.
common_voice_as_21808342.mp3,The old one tells the new that he has left the old
common_voice_as_22015893.mp3,It was only at a young age that they had a daughter.
common_voice_as_22015895.mp3,"Yet, as it did."
common_voice_as_22015898.mp3,"Seeing that, I don't want to worry about it."
common_voice_as_22015901.mp3,But he did not think it was appropriate to come home without any news. 
common_voice_as_22015902.mp3,There was a movement among the Miri cows about this. 
common_voice_as_22015994.mp3,Look for something to eat.
common_voice_as_22015996.mp3,He is also famous for historical monuments.
common_voice_as_22015998.mp3,"The thief called out to the tiger with a cheeky voice – ""The key, the key,  the key. """
common_voice_as_22015999.mp3,Then you have done a very big job.
common_voice_as_22016002.mp3,Not far from Nagaon.
common_voice_as_22016205.mp3,Download some of the songs. 
common_voice_as_22016206.mp3,"Since independence, the territories of the Bombay Presidency came under the name of The State of Bombay."
common_voice_as_22016207.mp3,"His three eldest sons are Madan, Majiuto's name is Ratna and the younger one is Pitambar. "
common_voice_as_22016209.mp3,India was still not independent.
common_voice_as_22016210.mp3,You will never be able to use this Sanjeevani Vidya and will not be successful even if you do it. 
common_voice_as_22016339.mp3,He reached the ghat with a boat in the dark night. 
common_voice_as_22016340.mp3,"As the wedding was not arranged, Madan decided to try towards Kaliabor this time."
common_voice_as_22016341.mp3,Father asks his son where the man ran away
common_voice_as_22016342.mp3,Changing this setting is harmful to your system.
common_voice_as_22016343.mp3,"Seeing that the straw on his skin was swollen, the rain watered down."
common_voice_as_22030167.mp3,It   is also known as the  'gateway' of North-East India. 
common_voice_as_22030174.mp3,"Wherever such a part fell, there was a place of pilgrimage. "
common_voice_as_22030178.mp3,The goddess saw it.
common_voice_as_22030183.mp3,Should God punish him so much?
common_voice_as_22030186.mp3,Our time will come out of Chittapur at four and a half o'clock.
common_voice_as_22030337.mp3,Dayaram's news has been found in a way. 
common_voice_as_22030342.mp3,The main purpose of student life is study. 
common_voice_as_22030349.mp3,My father has never done such a thing and I still don't.
common_voice_as_22030355.mp3,It was by showing them that Mani realised that his efforts had been successful. 
common_voice_as_22030361.mp3,"When he did not have any doubts, he insisted on giving Barak a way out. "
common_voice_as_22030512.mp3,This time it was sad in the stone-like heart of old Tamed. 
common_voice_as_22030514.mp3,He brought me a notice of pretending in the city again and again.
common_voice_as_22030517.mp3,And his wish is fulfilled.
common_voice_as_22030521.mp3,Iti Kamalakanta Bhattacharya
common_voice_as_22030528.mp3,"When the king saw  it, Teja said- ""Listen, listen, the king of the nation"""
common_voice_as_22030649.mp3,The like-minded boys are laughing together. 
common_voice_as_22030651.mp3,"According to him, portuguese documents mentioned a bay in the region. "
common_voice_as_22030653.mp3,Sivasagar is an important town and district headquarters of Sivasagar district of Assam.
common_voice_as_22030657.mp3,"Born in a world full of this beauty, I have been able to become one in ten. "
common_voice_as_22030660.mp3,Then Junkie left. 
common_voice_as_22030696.mp3,"All in all, the lotus is now a thousand times the lotus. "
common_voice_as_22030699.mp3,Faring was asked if he could give any cow's eyebrows by approaching the faring.
common_voice_as_22030704.mp3,"If you go, a scholar can't hold on. "
common_voice_as_22030925.mp3,Chakraborty closed the door from outside.
common_voice_as_22030928.mp3,The chaiwalas have blocked the path of knowledge education by marrying them
common_voice_as_22030933.mp3,Will you ever find out that the police have come looking for him?
common_voice_as_22030939.mp3,People had more to go to their homes with their homes.
common_voice_as_22030942.mp3,"On receiving the heat of the fire, the water inside is smokey and starts coming out in the mouth of the tequila."
common_voice_as_22074894.mp3,He saw that the assamese people did not have a little attention to the development of knowledge.
